basis_id,record_id,source_release,source_row,ref_year,flow_code,partner_code,partner2_code,mot_code,cmd_code,primary_value,fob_value,cif_value,is_reported,is_aggregate,legacy_estimation_flag,basis_rule
TOT-2015-X,TRD-2015-X-0001,annual_record_bundle_2015.json,1,2015,X,0,0,0,29,13948039379,13948039379,,True,False,0,all_world_total_partner0_partner2_0_mot_0
TOT-2015-M,TRD-2015-M-0176,annual_record_bundle_2015.json,176,2015,M,0,0,0,29,9818418851,,9818418851,True,False,0,all_world_total_partner0_partner2_0_mot_0
TOT-2016-M,TRD-2016-M-0001,annual_record_bundle_2016.json,1,2016,M,0,0,0,29,8632994937,,8632994937,True,False,0,all_world_total_partner0_partner2_0_mot_0
TOT-2016-X,TRD-2016-X-0085,annual_record_bundle_2016.json,85,2016,X,0,0,0,29,9903234161,9903234161,,True,False,0,all_world_total_partner0_partner2_0_mot_0
TOT-2017-M,TRD-2017-M-0008,annual_record_bundle_2017.json,8,2017,M,0,0,0,29,9809029957.509,,9809029957.509,False,True,0,all_world_total_partner0_partner2_0_mot_0
TOT-2017-X,TRD-2017-X-0078,annual_record_bundle_2017.json,78,2017,X,0,0,0,29,10576287128.454,10576287128.454,,False,True,0,all_world_total_partner0_partner2_0_mot_0
TOT-2019-M,TRD-2019-M-0359,annual_record_bundle_2019.json,359,2019,M,0,0,0,29,10133470321.366,,10133470321.366,False,True,4,all_world_total_partner0_partner2_0_mot_0
