macro_obs_id,year,exports_gdp_pct,manufacturing_value_added,industry_value_added,fdi_inflows_gdp,fossil_fuel_energy_pct,chemical_employment_thousand
MACRO-GBR-2015,2015,27.8790736176463,9.38451755587091,18.1397353548933,1.53903424150931,5.4138463351262,510.712
MACRO-GBR-2016,2016,29.0615561502528,9.13168940843145,17.6677948178206,11.9998637298189,6.03629297223223,501.799
MACRO-GBR-2017,2017,30.9738310965649,9.04234267998333,17.8215277161884,4.64443540147576,6.44057438492897,485.031
MACRO-GBR-2018,2018,31.854534000688,9.01545847936897,18.0023660420923,-0.864867036878713,7.34370223890006,517.822
MACRO-GBR-2019,2019,31.9028602803155,8.98151366135499,17.8736338534045,0.688204352262878,8.06663163707676,535.892
MACRO-GBR-2020,2020,29.9486520576829,9.08180842652208,17.4957170827215,5.77039185007421,8.99723804767684,504.671
MACRO-GBR-2021,2021,29.2894071087705,8.73281920838765,16.9553165949957,3.20643815254935,9.13018938194573,502.141
MACRO-GBR-2022,2022,34.0619283837069,7.9613351523025,16.8198596717719,2.91635435189931,9.3970302154864,473.448
MACRO-GBR-2023,2023,31.9122697629938,8.22392851588786,17.6714033030008,0.403116734836793,9.86735514562026,478.978
MACRO-GBR-2024,2024,30.9841588401688,7.98503886607726,17.1246523065486,-0.351465690300773,10.0602926185316,470.57
