compound,auid,Egap,Egap_type,enthalpy_formation_atom,volume_atom,spacegroup_relax,Pearson_symbol_relax,aurl
Ac1,aflow:075dbbb922a0e4d7,,,0,45.1122,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_GGA:11Apr2000/A1
Ac1,aflow:09380077ea262d8f,,,0,40.4895,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_LDA:12Apr2000/A1
Ac1,aflow:0c60e09656b9e78e,,,0,44.7612,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_PBE:06Sep2000/A1
Ac1,aflow:49d7aeb61659bc7d,,,3.82359,3375,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ac:PAW_GGA:11Apr2000/0
Ac1,aflow:4a044c196b4b15ce,,,3.76352,3375,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ac:PAW_PBE_KIN:06Sep2000/0
Ac1,aflow:4be5317ee35c8dce,0,metal,5.8e-05,45.4063,225,cF4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ac1_ICSD_43491
Ac1,aflow:58aff4dc11fb19fa,,,0.120949,45.9929,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE_KIN:06Sep2000/A2
Ac1,aflow:5afdc34a65be65c4,,,-3.66e-06,43.9831,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE_KIN:SCAN:06Sep2000/A1
Ac1,aflow:6196002050e22929,,,0.14226,41.0875,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_LDA:12Apr2000/A2
Ac1,aflow:7c40207f9f41880e,,,3.7e-07,45.5358,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE_KIN:06Sep2000/A1
Ac1,aflow:7d3a942b9b455915,,,0,45.4098,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE:06Sep2000/A1
Ac1,aflow:7dd39301db71bad2,,,0.128942,45.4845,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_GGA:11Apr2000/A2
Ac1,aflow:8196d1a193798409,,,3.70326,3375,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ac_s:PAW_GGA:11Apr2000/0
Ac1,aflow:84ac38ad725b0312,,,4.51473,4080,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ac:PAW_LDA:12Apr2000/0
Ac1,aflow:a4c9f018459b104f,,,0.142041,41.0611,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_LDA_KIN:12Apr2000/A2
Ac1,aflow:a611850bbb184a3d,,,0,44.9982,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_GGA:11Apr2000/A1
Ac1,aflow:aa16b2d5ba70d36f,,,0.143114,41.1332,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_LDA:12Apr2000/A2
Ac1,aflow:b10fdf32165c1364,,,4.49866,3375,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ac_s:PAW_LDA:12Apr2000/0
Ac1,aflow:cb881061187b9371,,,3.8e-07,40.4884,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_LDA_KIN:12Apr2000/A1
Ac1,aflow:d143f72f2ec5754c,,,0.120405,45.8766,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE:06Sep2000/A2
Ac1,aflow:df4f827388c65966,,,0.125977,45.7523,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_PBE:06Sep2000/A2
Ac1,aflow:e52df253f519b90c,,,3.04693,3375,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ac_s:PAW_PBE_KIN:06Sep2000/0
Ac1,aflow:fcdae6b1b616b1d2,,,0,40.4514,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_LDA:12Apr2000/A1
Ac1,aflow:febab1e925926c8b,,,0.127937,45.5515,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_GGA:11Apr2000/A2
Ac1H2,aflow:903e65521a6472cd,0,metal,-0.566575,17.0642,225,cF12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ac1H2_ICSD_56392
Ac2,aflow:039c26df2ec23887,,,0.404688,46.9553,141,tI4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE:06Sep2000/A5
Ac2,aflow:2053dd75c7ccfd32,,,0.411016,47.0758,141,tI4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_PBE:06Sep2000/A5
Ac2,aflow:2d1afb427524bead,,,0.00336043,44.1073,194,hP2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE_KIN:SCAN:06Sep2000/A3
Ac2,aflow:32a53e4a7072c12f,,,0.00866449,45.5495,194,hP2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE_KIN:06Sep2000/A3
Ac2,aflow:36f4c69435ece9c1,,,0.0092305,45.4787,194,hP2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE:06Sep2000/A3
Ac2,aflow:42bfad7edf09f6a7,,,0.009706,45.1158,194,hP2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_GGA:11Apr2000/A3
Ac2,aflow:4fe25b04f66c6295,,,0.009184,45.1687,194,hP2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_GGA:11Apr2000/A3
Ac2,aflow:77617ad5d6c16cac,,,1.62193,64.412,227,cF8,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE:06Sep2000/A4
Ac2,aflow:843bc9afbb478282,,,0.0148475,40.8665,194,hP2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_LDA:12Apr2000/A3
Ac2,aflow:93f3c4cbbed897c3,,,1.60975,66.3925,227,cF8,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_PBE:06Sep2000/A4
Ac2,aflow:bbcb5ac3aca0feeb,,,0.0134813,40.8575,194,hP2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_LDA_KIN:12Apr2000/A3
Ac2,aflow:cace77ac9c71ef90,,,0.0147925,40.8766,194,hP2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_LDA:12Apr2000/A3
Ac2,aflow:d2afc10b4e1169e5,,,0.0083565,45.0693,194,hP2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_PBE:06Sep2000/A3
Ac2Br6,aflow:fc70fda6652015cb,4.1084,insulator-indirect,-2.13565,34.7942,176,hP8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ac1Br3_ICSD_31578
Ac2Cl6,aflow:f005069e0112345e,5.0778,insulator-indirect,-2.533,29.7161,176,hP8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ac1Cl3_ICSD_31569
Ac2O3,aflow:0e74a562cc0ddf71,3.5216,insulator-indirect,-3.34679,18.5582,164,hP5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ac2O3_ICSD_31750
Ag1,aflow:011c7d7ae9167fca,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgY_sv/2
Ag1,aflow:011a8786d7c6ed38,,,0.00023,17.8516,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCa_sv/f1
Ag1,aflow:027bb615be9aa00a,,,0.030307,17.9797,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgNa_sv/b1
Ag1,aflow:02bb9ea63bb98b25,,,0.000263,17.87,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgW_pv/303
Ag1,aflow:036d3425b69c6eae,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCu_pv/f1
Ag1,aflow:0486dfcca1eab8d7,,,0.000344,17.8539,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgGa_h/A7.A
Ag1,aflow:053b403b95284dbf,0,metal,,17.8583,225,cF4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1_ICSD_53762
Ag1,aflow:062ac8d7d1f49a6f,0,metal,,17.8581,225,cF4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1_ICSD_180878
Ag1,aflow:07d034236d8e5496,,,0.038028,16.1578,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ag:PAW_LDA:17Apr2000/A2
Ag1,aflow:08574c1dd8673d68,,,0.030307,17.9795,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAl/b1
Ag1,aflow:08aa24be8373bad1,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgMn_pv/59
Ag1,aflow:085c27efe85822bf,,,0.030307,17.9795,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgSe/b1
Ag1,aflow:08ae1f6d9d4d4fcd,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAu/b1
Ag1,aflow:09c5ea3507748ec2,,,0.030307,17.9795,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgPb_d/b1
Ag1,aflow:0998f2c4156c614b,,,0.000263,17.87,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCo/303
Ag1,aflow:092a392084505e9f,,,0.000237,17.8512,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgIn_d/f1
Ag1,aflow:09a0b604c0f5b6e2,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCd/59
Ag1,aflow:0a8772175af836d6,,,0.027939,18.0097,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgGe_h/59
Ag1,aflow:0abf8217e8b66115,,,3.60995,3375,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ag:PAW_LDA:17Apr2000/0
Ag1,aflow:0b5cc6c2a8309fd2,,,0.0318923,17.6311,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ag_pv:PAW_PBE_KIN:09Dec2005/A2
Ag1,aflow:0c93e0e305a4bd44,,,0.030307,17.9795,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgSi/59
Ag1,aflow:0dc34a89f82bfff1,,,0.000263,17.87,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCd/303
Ag1,aflow:0e29520550556060,,,4.3e-05,17.8491,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgV_sv/2
Ag1,aflow:0e30e7e4a5b42f09,,,8e-08,17.4823,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ag_pv:PAW_PBE_KIN:09Dec2005/A1
Ag1,aflow:0e2682a5facb3e41,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgRh_pv/59
Ag1,aflow:0e9b29edb90149a2,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgOs_pv/f1
Ag1,aflow:0e64a1246ff796be,0,metal,,17.8583,225,cF4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1_ICSD_604630
Ag1,aflow:0f23ed4eb4e7eb62,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgZn/59
Ag1,aflow:10cf831e925a10ba,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCo/2
Ag1,aflow:10e6df101c66d1ae,,,0.029788,17.9777,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgNb_sv/b1
Ag1,aflow:11876c29d0dff1df,,,0.030307,17.9795,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAl/59
Ag1,aflow:123582825e2df102,,,0.000263,17.87,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgTc_pv/303
Ag1,aflow:124b02f29bab530e,,,0.000126,17.8532,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgP/303
Ag1,aflow:13d0ace67c1b2127,,,4.3e-05,17.8491,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgW_pv/2
Ag1,aflow:1340a457be786627,,,0.030307,17.9797,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgBe_sv/b1
Ag1,aflow:14c64ff406bfa664,,,0.00023,17.8516,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgNa_sv/2
Ag1,aflow:16574b6ad9a85672,,,0.000237,17.8512,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgPb_d/2
Ag1,aflow:16614e28eb484061,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgOs_pv/2
Ag1,aflow:165a495cf38c88c4,,,0.000831,17.8587,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/2
Ag1,aflow:18376e44e110beac,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgHg/2
Ag1,aflow:18c86af7506ecf6e,,,0.030077,17.9795,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ag:PAW_PBE:06Sep2000/A2
Ag1,aflow:18a13bbf8ea12249,,,,17.995,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ag:PAW_PBE:06Sep2000/A2:LDAU2
Ag1,aflow:1868efea2c6a9f39,,,0.00027,17.8548,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgMg_pv/2
Ag1,aflow:1937597a13d1981e,,,0.000237,17.8512,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAl/2
Ag1,aflow:19326d4748b4184f,0,metal,,17.8583,225,cF4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1_ICSD_604632
Ag1,aflow:193a41bb13fb9e90,,,0.029856,17.9789,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgSb/59
Ag1,aflow:19ae22b8322daebf,,,0.029788,17.9777,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgPt/b1
Ag1,aflow:1a1a3d2032e9f971,0,metal,,17.8737,225,cF4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1_ICSD_180879
Ag1,aflow:1b9e0de3be47427d,,,0.030307,17.9797,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCa_sv/b1
Ag1,aflow:1b8ae94d3b95db8e,,,0.00023,17.8516,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgBr/f1
Ag1,aflow:1e9619c0af875d63,,,1e-07,15.6433,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ag_sv_GW:PAW_LDA_KIN:05Dec2013/A1
Ag1,aflow:1e39b24cfc7bcc82,,,0.030307,17.9797,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgSr_sv/b1
Ag1,aflow:1ef1bd82107eeda2,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCd/b1
Ag1,aflow:201bf815652b1c53,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgMn_pv/f1
Ag1,aflow:210f9ad626554e22,,,0.030416,17.9795,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgGa_h/b1
Ag1,aflow:22170a90b9e134ff,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgNi_pv/59
Ag1,aflow:22fe82eb18212271,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCo/59
Ag1,aflow:221f602ef08e5820,,,0.030307,17.9797,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgTl_d/b1
Ag1,aflow:23e748389b40220a,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgPt/2
Ag1,aflow:23d3902f77a0d12a,,,0.000263,17.87,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCr_pv/303
Ag1,aflow:249706fbade1cad7,,,0.030307,17.9795,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgTe/b1
Ag1,aflow:24d05cf1e95cd9ae,,,0.029856,17.9789,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgSb/b1
Ag1,aflow:24546712ba8ac404,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgZn/f1
Ag1,aflow:26606511275b2faf,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgNi_pv/f1
Ag1,aflow:26d6c0d4a1fbe65c,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgMo_pv/59
Ag1,aflow:27c266f9621a5bb8,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAu/f1
Ag1,aflow:285f91c1686ad653,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgTa_pv/2
Ag1,aflow:284024d8654b6131,,,0.000237,17.8512,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgSn/f1
Ag1,aflow:288f1bd57f632b81,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgV_sv/59
Ag1,aflow:296ad15a8bbe31ab,,,0.000263,17.87,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgTa_pv/303
Ag1,aflow:2a8da0a54b9c5889,,,0.000237,17.8512,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgP/2
Ag1,aflow:2b52f06a5db819c5,,,0.030307,17.9795,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgSe/59
Ag1,aflow:2b272f63a4c9f7b9,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAu/59
Ag1,aflow:2b4bd57da1bd12d8,,,3.58028,3375,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ag:LDA:01Apr2000/0
Ag1,aflow:2c25fb378a9e2dbb,,,3.6e-07,15.8357,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ag_pv:PAW_LDA_KIN:09Dec2005/A1
Ag1,aflow:2c5ef79f6e366a12,,,0.000263,17.87,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgZn/303
Ag1,aflow:2d1d36afbd11b34d,,,0.030307,17.9797,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCl/b1
Ag1,aflow:2de260526743d927,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgIr/f1
Ag1,aflow:2f43ad6d03d5923c,,,0.030307,17.9795,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAs/b1
Ag1,aflow:2f51e7fa6ff90712,,,0.00023,17.8516,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgLi_sv/2
Ag1,aflow:303f9ec886cea964,0,metal,,17.8591,225,cF4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1_ICSD_64997
Ag1,aflow:30eb760be052b80a,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgZr_sv/59
Ag1,aflow:3287af757d8a7921,,,0.000344,17.8539,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgB_h/A7.A
Ag1,aflow:3366c5f18fd4b3ae,,,0.000237,17.8512,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgGa_h/2
Ag1,aflow:3356ed47edc603f9,,,0.03019,17.9085,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ag:PAW_GGA:18Jul2000/A2
Ag1,aflow:353331c4af209352,,,4.3e-05,17.8491,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgV_sv/f1
Ag1,aflow:35b79fccba7ddf70,,,0.029788,17.9777,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgMo_pv/b1
Ag1,aflow:356e69c0f7a6ba08,,,0.030307,17.9797,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgBa_sv/59
Ag1,aflow:3637636d700dd373,,,0.030307,17.9797,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCa_sv/59
Ag1,aflow:37a58cf643867e85,,,0.000263,17.87,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgHf_pv/303
Ag1,aflow:389a03a5aa7d17a8,0,metal,,17.8583,225,cF4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1_ICSD_604629
Ag1,aflow:38076e452b5e8eca,,,0.00023,17.8516,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgNa_sv/f1
Ag1,aflow:38accf5c391aae61,,,-0.000572,17.858,139,tI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAu/303
Ag1,aflow:39928c9abeb42dbb,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgPt/59
Ag1,aflow:39a330ed44205d18,,,0.00023,17.8516,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgK_sv/2
Ag1,aflow:3bae689109a0d22c,,,0.030307,17.9797,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCl/59
Ag1,aflow:3dad787e2ea2104a,,,0.029788,17.9777,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgNi_pv/b1
Ag1,aflow:3de186125bc938cc,,,0.000237,17.8512,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAs/2
Ag1,aflow:3d872165afe5b7a7,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgRh_pv/2
Ag1,aflow:3e907356c7f0b046,,,4e-08,15.8957,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ag_GW:PAW_LDA_KIN:06Mar2008/A1
Ag1,aflow:3ff16bfbe7340dbe,,,0.029788,17.9777,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgY_sv/b1
Ag1,aflow:405216616902ffc8,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAu/2
Ag1,aflow:40efada370a24a28,0,metal,,17.8583,225,cF4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1_ICSD_604631
Ag1,aflow:405091fb2b85b8cc,,,0.00036,17.8512,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgGa_h/f1
Ag1,aflow:420a49a13f03dd07,,,4.3e-05,17.8491,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgW_pv/f1
Ag1,aflow:43862c25a0e82899,,,0.000321,17.8525,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgSb/303
Ag1,aflow:46a78ac4ec28b26f,,,-0.000573,17.858,139,tI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgMn_pv/303
Ag1,aflow:46dec61deb1ed379,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgZn/2
Ag1,aflow:485dc380f993870e,,,0.00023,17.8516,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgLi_sv/f1
Ag1,aflow:4895e8dc09ed999f,,,0.000125,17.8528,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgK_sv/303
Ag1,aflow:4881836087ab6b5c,,,0.000126,17.8532,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgB_h/303
Ag1,aflow:495ff221e5160ff2,,,0,16.0612,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ag:PAW_LDA:17Apr2000/A1
Ag1,aflow:4a6d39630617ae5c,,,0.000263,17.87,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgSc_sv/303
Ag1,aflow:4a074d8eaff2f490,,,0.000263,17.87,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgRu_pv/303
Ag1,aflow:4b02fdfaf479d58c,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgMo_pv/2
Ag1,aflow:4b71c943fc07677a,,,0.030307,17.9797,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgBr/b1
Ag1,aflow:4cff9d46dc10eec5,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCu_pv/b1
Ag1,aflow:4d4cc2f2a891056e,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgRh_pv/b1
Ag1,aflow:4d544136c2843cf3,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgIr/59
Ag1,aflow:4ded4831ffd6eb0d,,,0.030307,17.9797,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgTl_d/59
Ag1,aflow:4ec620b990f9398f,,,0.000237,17.8512,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgP/f1
Ag1,aflow:51a5239be11924f0,,,0.000321,17.8525,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgBi_d/303
Ag1,aflow:51eafe2c618ba740,,,0.029773,17.9773,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgCu_pv/59
Ag1,aflow:52b19ab2c0a143ac,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgRu_pv/f1
Ag1,aflow:52095e5cb789b18a,,,4.3e-05,17.8488,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgRh_pv/f1
Ag1,aflow:528bec1076014525,,,0.030307,17.9795,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgIn_d/59
Ag1,aflow:5240e6973e1531ac,,,0.030307,17.9795,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgB_h/59
