compound,auid,Egap,Egap_type,enthalpy_formation_atom,volume_atom,spacegroup_relax,Pearson_symbol_relax,aurl
Ag1Al2,aflow:d543e7a7e4d12e98,,,-0.0487253,16.861,164,hP3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAl/f8
Ag1Al2,aflow:e41b6a60f1e28bda,,,0.186979,19.521,123,tP3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAl/390
Ag1Al2,aflow:e9af5ce1ad7c9daf,,,0.00584833,17.0203,71,oI6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAl/657.BA
Ag1Al2,aflow:ef00d476c47fe64e,,,0.00527633,16.9448,12,mS6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAl/f9
Ag1Al2,aflow:f78ac215a0bec8cd,,,0.006882,16.9455,139,tI6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgAl/287
Ag1Al2As1,aflow:02a47840537cd60d,,,0.0895545,17.7556,65,oS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC015.BCA
Ag1Al2As1,aflow:05e0175334714afb,,,0.09941,17.5777,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TBCC011.BCA
Ag1Al2As1,aflow:09b3865e1744fb36,0,metal,0.808971,18.4125,225,cF16,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/T0001.AB2C:LDAU2
Ag1Al2As1,aflow:0cae969f80000efd,,,0.123,17.9615,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC016.BCA
Ag1Al2As1,aflow:0d07f5e7c31a003c,,,0.14779,18.0932,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TBCC016.BCA
Ag1Al2As1,aflow:0e77d6eddb5b392c,,,0.0925795,17.7229,47,oP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC010.BCA
Ag1Al2As1,aflow:1abfeb600fb4db5f,,,0.0924728,17.3993,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC012.BCA
Ag1Al2As1,aflow:20fbb067049db10a,,,0.1088,17.8216,10,mP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC014.BCA
Ag1Al2As1,aflow:2406862911d2c06e,,,0.0844525,17.6595,99,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC007.BCA
Ag1Al2As1,aflow:26be762b4ce24c61,,,0.142701,17.8482,139,tI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC013.BCA
Ag1Al2As1,aflow:3c90103b8bc51727,0,metal,0.207138,18.6722,216,cF16,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/T0002.AB2C
Ag1Al2As1,aflow:3ee6f1e782e006b3,,,0.0154248,19.4332,99,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TBCC006.BCA
Ag1Al2As1,aflow:407aff912609e135,,,0.0906629,17.509,65,oS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TBCC009.BCA
Ag1Al2As1,aflow:42d06c9e36c7ebd1,,,0.062811,18.5585,25,oP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC005.BCA
Ag1Al2As1,aflow:482816cd1cf110dc,,,0.127454,18.0532,71,oI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TBCC012.BCA
Ag1Al2As1,aflow:4b0627cbb26c7b6b,,,0.092467,17.5696,166,hR4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC009.BCA
Ag1Al2As1,aflow:683e741e669f3ea4,,,0.107091,18.0846,44,oI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TBCC007.BCA
