material_id,oqmd_name,record_count,best_spacegroup,delta_e_ev_atom,stability_ev_atom,lowest_delta_e_ev_atom,band_gap_ev,natoms
MAT-CU2O-CUPRITE,Cu2O,1,Pn-3m,-0.683983191417584,0.00044117666666698696,-0.683983191417584,0.756,6
MAT-CUO-TENORITE,CuO,3,C2/c,-0.805811471282877,0.026504872499999,-0.805811471282877,0.0,4
MAT-CU3SN-ETA,Cu3Sn,1,Fm-3m,0.0351470832872001,0.0714824675000008,0.0351470832872001,0.0,4
MAT-AL2CU-THETA,Al2Cu,3,Fmmm,-0.15628721,0.018707923333332988,-0.15628721,0.0,6
MAT-ALCU3-GAMMA,AlCu3,2,Pm-3m,-0.177886805,0.011023996250000001,-0.177886805,0.0,4
MAT-ZNCU-BETA,ZnCu,1,Pm-3m,-0.0905041150000003,0.003848952233779762,-0.0905041150000003,0.0,2
MAT-CUAU-L10,CuAu,2,P4/mmm,-0.052771855,2.5469999999784554e-05,-0.052771855,0.0,2
