material_id,nist_id,title,doi,version,modified,keyword,decision_use
MAT-YBCO-CUPRATE,ark:/88434/mds01dp7vr,NIST High Temperature Superconducting (HTS) Materials Database - SRD 62,doi:10.18434/T4KP8J,1.0.0,2015-06-22,high-temperature; high-temperature superconducting materials; high-temperature superconducting materials database,context or decoy screening
MAT-CU-C101,ark:/88434/mds012mz82,NIST Handbook of Basic Atomic Spectroscopic Data - SRD 108,,1.0.0,2005-08-01,Actinium; Aluminum; Americium; Antimony; Argon; Arsenic; Astatine; Atom; Atomic Data; Atomic Ions; Atomic Physics; Atomic Property; Atomic Spectroscopy; Atomic Weights; Barium; Berkelium; Beryllium; Bismuth; Bohrium; Boron; Bromine; Cadmium; Calcium; Californium; Carbon; Cerium; Cesium; Chlorine; Chromium; Cobalt; Copper; Curium; Dysprosium; Einsteinium; Element; Elemental Data; Erbium; Europium; Fluorine; Francium; Gadolinium; Gallium; Germanium; Gold; Hafnium; Helium; Holmium; Hydrogen; Indium; Iodine; Ionized Atoms; Iridium; Iron; Isotopic Composition; Krypton; Lanthanum; Lead; Lithium; Lutetium; Magnesium; Manganese; Mercury; Molybdenum; Neodymium; Neon; Neptunium; Neutral Atoms; Nickel; Niobium; Nitrogen; Osmium; Oxygen; Palladium; Phosphorus; Platinum; Plutonium; Polonium; Potassium; Praseodymium; Promethium; Protactinium; Radium; Radon; Rhenium; Rhodium; Rubidium; Ruthenium; Samarium; Scandium; Selenium; Silicon; Silver; Singly Charged; Singly Ionized; Sodium; Spectrum; Strontium; Sulfur; Tantalum; Technetium; Tellurium; Terbium; Thallium; Thorium; Thulium; Tin; Titanium; Tungsten; Vanadium; Xenon; Ytterbium; Yttrium; Zinc; Zirconium; atomic energy levels; atomic spectra; atomic spectral lines; ionization energy; ionization potential; wavelengths,context or decoy screening
MAT-CU-C101,ark:/88434/mds2-2940,Experimental Measurements for Pyrolysis Model Validation - Anaerobic Gasification of PMMA Under External Thermal Radiation,doi:10.18434/mds2-2940,1.0.0,2023-02-06,fire modeling; material properties; model validation; pyrolysis,context or decoy screening
MAT-CU-HBPLATE,ark:/88434/mds2-4076,Elastic-plastic Single-Step and Multi-Step Indentation via IIT and AFM on Hybrid Bonding Copper,doi:10.18434/mds2-4076,1.0.1,2026-02-02,AFM; instrumented indentation; copper; plasticity; yield strength; stress-strain curve; hybrid bonding; advanced packaging,condition-matched copper property support
